geohash,value
9vfg4p,1.0
9vfg60,1.0
9vfg62,1.0
9vfg68,1.0
9vfg6b,1.0
9vfg70,1.0
9vfg72,1.0
9vfg78,1.0
9vfg7b,1.0
9vfgk0,1.0
9vfgk2,1.0
9vfgk8,1.0
9vfgkb,1.0
9vfgm0,1.0
9vfgm2,1.0
9vfgm8,1.0
9vfgmb,1.0
9vfgq0,1.0
9vfgq2,1.0
9vfgq8,1.0
9vfgqb,1.0
9vfgr0,1.0
9vfgr2,1.0
9vfgr8,1.0
9vfgrb,1.0
9vg520,1.0
9vg522,1.0
9vg528,1.0
9vg52b,1.0
9vg530,1.0
9vg532,1.0
9vg538,1.0
9vg53b,1.0
9vg560,1.0
9vg562,1.0
9vg568,1.0
9vg56b,1.0
9vg570,1.0
9vg55p,1.0
9vg55n,1.0
9vg55j,1.0
9vg55h,1.0
9vg555,1.0
9vg554,1.0
9vg551,1.0
9vg550,1.0
9vg4gp,1.0
9vg4gn,1.0
9vg4gj,1.0
9vg4gh,1.0
9vg4g5,1.0
9vg4g4,1.0
9vg4g1,1.0
9vg4g0,1.0
9vg4ep,1.0
9vg4en,1.0
9vg4ej,1.0
9vg4eh,1.0
9vg4e5,1.0
9vg4e4,1.0
9vg4e1,1.0
9vg4e0,1.0
9vg47p,1.0
9vg47n,1.0
9vg47j,1.0
9vg47h,1.0
9vg475,1.0
9vg474,1.0
9vg471,1.0
9vg470,1.0
9vg45p,1.0
9vg45n,1.0
9vg45j,1.0
9vg45h,1.0
9vg44u,1.0
9vg44s,1.0
9vg44k,1.0
9vg44h,1.0
9vg41u,1.0
9vg41s,1.0
9vg41k,1.0
9vg41h,1.0
9vg40u,1.0
9vg40s,1.0
9vg40k,1.0
9vg40h,1.0
9vffpu,1.0
9vffps,1.0
9vffpk,1.0
9vffph,1.0
9vffnu,1.0
9vffns,1.0
9vffnk,1.0
9vffnh,1.0
9vffju,1.0
9vffjs,1.0
9vffjk,1.0
9vffjh,1.0
9vffhu,1.0
9vffhs,1.0
9vffhk,1.0
9vffhh,1.0
9vff5u,1.0
9vff5s,1.0
9vff5k,1.0
9vff5h,1.0
9vff4u,1.0
9vff4s,1.0
9vff4k,1.0
9vff4h,1.0
9vff4j,1.0
9vff4n,1.0
9vff4p,1.0
9vff60,1.0
9vff61,1.0
9vff64,1.0
9vff65,1.0
9vff6h,1.0
9vff6j,1.0
9vff6n,1.0
9vff6p,1.0
9vffd0,1.0
9vffd1,1.0
9vffd4,1.0
9vffd5,1.0
9vffdh,1.0
9vffdj,1.0
9vffdn,1.0
9vffdp,1.0
9vfff0,1.0
9vfff1,1.0
9vfff4,1.0
9vfff5,1.0
9vfffh,1.0
9vfffj,1.0
9vfffn,1.0
9vfffp,1.0
9vfg40,1.0
9vfg41,1.0
